Data;Nowe przypadki;Nowe zgony;Nowe wyzdrowienia
03.03;+ 0;0;0
04.03;+ 1;0;0
05.03;+ 0;0;0
06.03;+ 4;0;0
07.03;+ 1;0;0
08.03;+ 5;0;0
09.03;+ 6;0;0
10.03;+ 5;0;0
11.03;+ 9;0;0
12.03;+ 20;1;0
13.03;+ 17;1;0
14.03;+ 36;1;0
15.03;+ 21;0;0
16.03;+ 52;1;0
17.03;+ 61;1;1
18.03;+ 49;0;0
19.03;+ 68;0;0
20.03;+ 70;0;0
21.03;+ 111;0;0
22.03;+ 98;2;0
23.03;+ 115;1;0
24.03;+ 152;2;0
25.03;+ 150;3;0
26.03;+ 170;3;0
27.03;+ 168;0;0
28.03;+ 249;2;0
29.03;+ 224;4;0
30.03;+ 193;9;0
31.03;+ 256;2;0
01.04;+ 243;10;0
02.04;+ 392;14;0
03.04;+ 437;14;0
04.04;+ 244;8;115
05.04;+ 475;15;18
06.04;+ 311;13;28
07.04;+ 435;22;29
08.04;+ 357;29;31
09.04;+ 370;16;62
10.04;+ 380;7;34
11.04;+ 401;27;57
12.04;+ 318;24;64
13.04;+ 258;13;48
14.04;+ 270;18;131
15.04;+ 380;23;50
16.04;+ 336;28;106
17.04;+ 457;18;92
18.04;+ 334;15;115
19.04;+ 515;13;59
20.04;+ 306;20;93
21.04;+ 263;20;164
22.04;+ 313;25;216
23.04;+ 342;28;227
24.04;+ 381;40;204
25.04;+ 381;30;182
26.04;+ 344;12;139
27.04;+ 285;26;201
28.04;+ 316;34;189
29.04;+ 422;28;370
30.04;+ 300;20;211
01.05;+ 228;7;255
02.05;+ 270;12;271
03.05;+ 318;15;183
04.05;+ 313;19;150
05.05;+ 406;19;185
06.05;+ 311;18;375
07.05;+ 303;22;207
08.05;+ 337;20;322
09.05;+ 288;9;253
10.05;+ 345;15;261
11.05;+ 330;11;118
12.05;+ 556;28;315
13.05;+ 322;23;279
14.05;+ 411;22;286
15.05;+ 401;24;222
16.05;+ 241;8;257
17.05;+ 272;10;276
18.05;+ 356;11;177
19.05;+ 382;12;275
20.05;+ 471;14;280
21.05;+ 403;10;269
22.05;+ 471;10;279
23.05;+ 315;11;246
24.05;+ 361;3;217
25.05;+ 341;11;82
26.05;+ 443;17;744
27.05;+ 397;4;310
28.05;+ 352;10;230
29.05;+ 332;13;132
30.05;+ 412;10;324
31.05;+ 219;3;255
01.06;+ 375;10;178
02.06;+ 236;18;277
03.06;+ 292;23;288
04.06;+ 361;2;213
05.06;+ 362;20;183
06.06;+ 576;14;231
07.06;+ 575;4;214
08.06;+ 599;9;143
09.06;+ 400;19;198
10.06;+ 282;23;215
11.06;+ 359;9;285
12.06;+ 376;7;109
13.06;+ 440;15;299
14.06;+ 375;10;122
15.06;+ 396;9;157
16.06;+ 407;16;271
17.06;+ 450;14;267
18.06;+ 314;30;396
19.06;+ 352;18;381
20.06;+ 309;12;483
21.06;+ 311;10;502
22.06;+ 296;3;393
23.06;+ 300;16;497
24.06;+ 294;21;561
25.06;+ 289;16;520
26.06;+ 285;17;564
27.06;+ 319;6;754
28.06;+ 193;4;576
29.06;+ 247;6;349
30.06;+ 239;19;384
01.07;+ 382;14;510
02.07;+ 371;15;418
03.07;+ 259;14;442
04.07;+ 314;4;476
05.07;+ 231;5;619
06.07;+ 205;4;220
07.07;+ 257;7;272
08.07;+ 277;15;640
09.07;+ 262;9;599
10.07;+ 265;11;571
11.07;+ 305;6;587
12.07;+ 370;3;513
13.07;+ 299;5;367
14.07;+ 267;12;241
15.07;+ 264;6;736
16.07;+ 333;10;436
17.07;+ 353;7;577
18.07;+ 339;6;419
19.07;+ 358;6;368
20.07;+ 279;4;247
21.07;+ 399;9;232
22.07;+ 380;6;368
23.07;+ 418;9;402
24.07;+ 458;4;456
25.07;+ 584;9;422
26.07;+ 443;7;334
27.07;+ 337;5;103
28.07;+ 502;6;187
29.07;+ 512;12;147
30.07;+ 615;15;453
31.07;+ 657;7;344
01.08;+ 658;5;387
02.08;+ 548;10;335
03.08;+ 575;1;172
04.08;+ 680;6;175
05.08;+ 640;18;265
06.08;+ 726;18;321
07.08;+ 809;13;399
08.08;+ 843;13;362
09.08;+ 624;7;288
